sepal_length,sepal_width,petal_length,petal_width,species,check_missing
5.1,3.5,1.4,0.2,setosa,0.414206293
4.9,3,1.4,0.2,setosa,0.775305672
4.7,3.2,1.3,0.2,setosa,
4.6,3.1,1.5,0.2,setosa,
5,3.6,1.4,0.2,setosa,
5.4,3.9,1.7,0.4,setosa,
4.6,3.4,1.4,0.3,setosa,0.588238327
5,3.4,1.5,0.2,setosa,0.961340623
4.4,2.9,1.4,0.2,setosa,0.660351202
4.9,3.1,1.5,0.1,setosa,0.012182107
5.4,3.7,1.5,0.2,setosa,0.302305531
4.8,3.4,1.6,0.2,setosa,0.977496991
4.8,3,1.4,0.1,setosa,0.783646841
4.3,3,1.1,0.1,setosa,0.037961642
5.8,4,1.2,0.2,setosa,0.340301257
5.7,4.4,1.5,0.4,setosa,0.012511477
5.4,3.9,1.3,0.4,setosa,0.659623712
5.1,3.5,1.4,0.3,setosa,0.736634782
5.7,3.8,1.7,0.3,setosa,0.76317663
5.1,3.8,1.5,0.3,setosa,0.729935733
5.4,3.4,1.7,0.2,setosa,0.220894435
5.1,3.7,1.5,0.4,setosa,0.460507696
4.6,3.6,1,0.2,setosa,0.878528854
5.1,3.3,1.7,0.5,setosa,0.1631767
4.8,3.4,1.9,0.2,setosa,0.509256197
5,3,1.6,0.2,setosa,0.333546758
5,3.4,1.6,0.4,setosa,0.880550014
5.2,3.5,1.5,0.2,setosa,0.860018283
5.2,3.4,1.4,0.2,setosa,0.236053292
4.7,3.2,1.6,0.2,setosa,0.015712186
4.8,3.1,1.6,0.2,setosa,0.237414904
5.4,3.4,1.5,0.4,setosa,0.776285604
5.2,4.1,1.5,0.1,setosa,0.039850175
5.5,4.2,1.4,0.2,setosa,0.499898802
4.9,3.1,1.5,0.1,setosa,0.144620001
5,3.2,1.2,0.2,setosa,0.98264339
5.5,3.5,1.3,0.2,setosa,0.873226408
4.9,3.1,1.5,0.1,setosa,0.925073644
4.4,3,1.3,0.2,setosa,0.312850822
